buy_mw,sell_mw,price,datetime
31.2,529.2,3497.1,2026-01-01 00:00:00
31.2,529.2,3497.07,2026-01-01 00:15:00
31.2,529.3,3497.11,2026-01-01 00:30:00
31.2,529.8,3497.1,2026-01-01 00:45:00
31.2,531.2,3497.1,2026-01-01 01:00:00
31.2,531.5,3497.09,2026-01-01 01:15:00
31.2,532.2,3497.09,2026-01-01 01:30:00
31.2,532.6,3497.08,2026-01-01 01:45:00
31.2,531.7,3498.13,2026-01-01 02:00:00
31.2,531.9,3498.14,2026-01-01 02:15:00
31.2,532.3,3497.14,2026-01-01 02:30:00
31.2,532.7,3497.15,2026-01-01 02:45:00
31.2,533.5,3497.17,2026-01-01 03:00:00
31.2,533.9,3497.29,2026-01-01 03:15:00
31.2,534.5,3499.32,2026-01-01 03:30:00
31.2,535.3,3499.32,2026-01-01 03:45:00
28.5,534.8,3900.6,2026-01-01 04:00:00
28.5,535.7,3900.58,2026-01-01 04:15:00
28.5,536.4,3900.61,2026-01-01 04:30:00
28.5,536.7,3900.59,2026-01-01 04:45:00
28.5,537.9,3900.71,2026-01-01 05:00:00
28.5,537.9,3900.71,2026-01-01 05:15:00
28.5,538.2,3900.73,2026-01-01 05:30:00
28.5,537.5,3900.6,2026-01-01 05:45:00
70.42,510.19,4050.9,2026-01-01 06:00:00
40.6,509.4,4250.15,2026-01-01 06:15:00
13.0,508.8,5173.55,2026-01-01 06:30:00
13.0,508.5,5500.06,2026-01-01 06:45:00
47.59,506.2,10000.0,2026-01-01 07:00:00
45.86,506.5,10000.0,2026-01-01 07:15:00
31.39,506.3,10000.0,2026-01-01 07:30:00
32.9,504.7,10000.0,2026-01-01 07:45:00
49.81,524.8,10000.0,2026-01-01 08:00:00
55.42,524.9,10000.0,2026-01-01 08:15:00
77.0,524.2,5500.78,2026-01-01 08:30:00
100.5,520.6,4480.74,2026-01-01 08:45:00
96.7,516.4,4480.67,2026-01-01 09:00:00
95.7,521.7,4240.67,2026-01-01 09:15:00
94.7,519.7,4150.77,2026-01-01 09:30:00
49.2,520.4,3979.14,2026-01-01 09:45:00
34.7,517.5,3700.17,2026-01-01 10:00:00
37.0,517.5,3650.14,2026-01-01 10:15:00
37.0,517.8,3530.99,2026-01-01 10:30:00
37.0,519.5,3480.2,2026-01-01 10:45:00
37.0,521.1,3480.3,2026-01-01 11:00:00
89.0,521.2,3293.47,2026-01-01 11:15:00
40.0,521.2,3440.19,2026-01-01 11:30:00
40.1,521.1,3440.22,2026-01-01 11:45:00
76.6,513.6,3293.27,2026-01-01 12:00:00
73.6,517.1,3293.09,2026-01-01 12:15:00
94.4,509.9,3259.07,2026-01-01 12:30:00
91.4,509.7,3198.22,2026-01-01 12:45:00
86.7,510.2,2668.96,2026-01-01 13:00:00
