datetime,temp,humidity,rain,cloud,wind,pressure,solar
2026-01-01 00:00:00,20.9,69,0.0,50,7.2,955.0,0.0
2026-01-01 01:00:00,20.6,70,0.0,59,5.5,954.5,0.0
2026-01-01 02:00:00,20.0,73,0.0,64,5.5,953.9,0.0
2026-01-01 03:00:00,19.5,76,0.0,76,5.6,954.0,0.0
2026-01-01 04:00:00,19.0,79,0.0,65,6.2,954.1,0.0
2026-01-01 05:00:00,18.3,88,0.0,73,4.9,954.4,0.0
2026-01-01 06:00:00,18.1,90,0.0,2,5.7,955.2,0.0
2026-01-01 07:00:00,18.2,90,0.0,6,5.8,956.0,27.0
2026-01-01 08:00:00,20.0,81,0.0,0,3.4,957.4,191.0
2026-01-01 09:00:00,22.1,72,0.0,1,4.2,958.2,404.0
2026-01-01 10:00:00,24.4,59,0.0,0,4.6,958.2,584.0
2026-01-01 11:00:00,25.9,50,0.0,14,5.1,957.8,710.0
2026-01-01 12:00:00,27.4,41,0.0,77,2.7,956.7,765.0
2026-01-01 13:00:00,28.3,36,0.0,38,0.9,955.5,702.0
2026-01-01 14:00:00,28.9,33,0.0,29,2.7,954.6,551.0
2026-01-01 15:00:00,29.0,31,0.0,77,4.8,954.2,446.0
2026-01-01 16:00:00,28.5,31,0.0,74,3.3,954.3,267.0
2026-01-01 17:00:00,25.4,52,0.0,12,13.6,954.5,98.0
2026-01-01 18:00:00,24.8,52,0.0,5,8.8,955.5,5.0
2026-01-01 19:00:00,24.5,54,0.0,14,9.8,956.2,0.0
2026-01-01 20:00:00,23.8,59,0.0,5,8.8,957.1,0.0
2026-01-01 21:00:00,22.9,62,0.0,0,9.1,957.1,0.0
2026-01-01 22:00:00,22.5,64,0.0,0,8.0,957.1,0.0
2026-01-01 23:00:00,21.8,71,0.0,1,6.0,957.1,0.0
2026-01-02 00:00:00,21.4,73,0.0,65,5.4,956.7,0.0
2026-01-02 01:00:00,20.9,75,0.0,61,4.8,956.1,0.0
2026-01-02 02:00:00,20.5,77,0.0,94,5.1,955.8,0.0
2026-01-02 03:00:00,20.0,79,0.0,96,4.8,955.8,0.0
2026-01-02 04:00:00,19.6,82,0.0,75,3.6,955.8,0.0
2026-01-02 05:00:00,18.8,86,0.0,73,2.7,956.2,0.0
2026-01-02 06:00:00,19.0,85,0.0,21,5.5,956.9,0.0
2026-01-02 07:00:00,18.9,88,0.0,84,6.5,958.0,25.0
2026-01-02 08:00:00,20.0,86,0.0,63,7.1,959.4,178.0
2026-01-02 09:00:00,21.6,78,0.0,30,7.6,960.1,348.0
2026-01-02 10:00:00,23.5,66,0.0,27,7.2,960.1,538.0
2026-01-02 11:00:00,25.6,55,0.0,23,5.9,959.5,669.0
2026-01-02 12:00:00,27.1,43,0.0,13,3.4,958.7,697.0
2026-01-02 13:00:00,28.3,37,0.0,23,2.1,957.7,700.0
2026-01-02 14:00:00,28.9,33,0.0,84,4.4,956.9,589.0
2026-01-02 15:00:00,28.4,33,0.0,96,4.7,956.5,314.0
2026-01-02 16:00:00,28.0,34,0.0,33,2.8,956.7,171.0
2026-01-02 17:00:00,26.8,41,0.0,52,7.1,957.0,102.0
2026-01-02 18:00:00,25.7,47,0.0,35,9.6,957.6,4.0
2026-01-02 19:00:00,24.2,56,0.0,30,10.1,958.5,0.0
2026-01-02 20:00:00,23.8,58,0.0,1,9.1,959.0,0.0
2026-01-02 21:00:00,23.1,60,0.0,6,6.8,959.5,0.0
2026-01-02 22:00:00,22.8,61,0.0,5,6.4,959.3,0.0
2026-01-02 23:00:00,22.1,67,0.0,8,7.1,958.7,0.0
2026-01-03 00:00:00,21.8,68,0.0,0,8.3,958.6,0.0
2026-01-03 01:00:00,21.0,71,0.0,2,7.7,957.9,0.0
2026-01-03 02:00:00,20.4,74,0.0,0,6.9,957.5,0.0
2026-01-03 03:00:00,19.8,77,0.0,49,7.4,957.3,0.0
2026-01-03 04:00:00,19.4,78,0.0,1,7.4,957.4,0.0
2026-01-03 05:00:00,19.1,83,0.0,1,5.8,957.7,0.0
2026-01-03 06:00:00,18.6,86,0.0,0,7.1,958.3,0.0
2026-01-03 07:00:00,18.5,91,0.0,81,8.9,958.9,25.0
2026-01-03 08:00:00,19.6,87,0.0,60,10.0,959.8,157.0
2026-01-03 09:00:00,21.5,75,0.0,32,8.6,960.8,320.0
2026-01-03 10:00:00,23.4,64,0.0,28,8.5,960.5,548.0
2026-01-03 11:00:00,24.9,54,0.0,8,9.4,960.5,658.0
2026-01-03 12:00:00,26.4,45,0.0,0,9.3,959.4,747.0
2026-01-03 13:00:00,27.5,40,0.0,43,6.4,958.5,755.0
2026-01-03 14:00:00,27.5,38,0.0,47,6.2,957.6,576.0
2026-01-03 15:00:00,27.0,39,0.0,100,6.7,957.3,412.0
2026-01-03 16:00:00,26.3,42,0.0,100,5.9,957.3,139.0
2026-01-03 17:00:00,25.4,47,0.0,63,6.1,957.6,51.0
2026-01-03 18:00:00,25.1,48,0.0,27,9.6,958.2,4.0
2026-01-03 19:00:00,24.3,52,0.0,23,10.7,958.9,0.0
2026-01-03 20:00:00,23.8,54,0.0,11,8.1,959.6,0.0
2026-01-03 21:00:00,23.0,57,0.0,15,7.7,960.2,0.0
2026-01-03 22:00:00,22.6,59,0.0,5,7.6,960.1,0.0
2026-01-03 23:00:00,21.8,66,0.0,11,5.8,959.4,0.0
2026-01-04 00:00:00,21.5,67,0.0,0,5.8,959.2,0.0
2026-01-04 01:00:00,20.9,68,0.0,0,8.0,958.6,0.0
2026-01-04 02:00:00,20.0,71,0.0,0,8.1,958.0,0.0
2026-01-04 03:00:00,19.3,77,0.0,0,6.0,957.9,0.0
